,pizza_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
5799,5800,hawaiian_m,2,2015-12-02,15:54:49,13.25,26.5,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
5820,5821,mexicana_m,2,2015-12-02,17:42:00,16.0,32.0,M,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
5873,5874,bbq_ckn_l,2,2015-02-13,12:33:36,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
6609,6610,spin_pesto_m,2,2015-02-18,17:17:04,16.5,33.0,M,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza
6818,6819,ckn_pesto_s,2,2015-02-20,12:32:03,12.75,25.5,S,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza
6911,6912,cali_ckn_l,2,2015-02-20,17:54:22,20.75,41.5,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
6923,6924,mexicana_l,2,2015-02-20,18:42:15,20.25,40.5,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
6926,6927,spinach_supr_s,2,2015-02-20,19:01:48,12.5,25.0,S,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza
6941,6942,prsc_argla_l,2,2015-02-20,20:06:45,20.75,41.5,L,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza
7014,7015,bbq_ckn_l,2,2015-02-21,15:11:34,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
7039,7040,big_meat_s,2,2015-02-21,16:46:37,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
7221,7222,bbq_ckn_l,2,2015-02-23,13:27:18,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
7234,7235,cali_ckn_l,2,2015-02-23,13:59:04,20.75,41.5,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
7409,7410,calabrese_m,2,2015-02-24,18:39:12,16.25,32.5,M,Supreme,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",The Calabrese Pizza
7447,7448,four_cheese_l,2,2015-02-25,10:54:03,17.95,35.9,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
7580,7581,big_meat_s,2,2015-02-25,20:46:02,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
7922,7923,five_cheese_l,2,2015-02-28,12:36:18,18.5,37.0,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
8220,8221,classic_dlx_m,2,2015-02-03,16:19:32,16.0,32.0,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
8464,8465,sicilian_l,2,2015-04-03,13:26:50,20.25,40.5,L,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza
8537,8538,cali_ckn_m,2,2015-04-03,18:27:40,16.75,33.5,M,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
8586,8587,cali_ckn_l,2,2015-05-03,13:21:27,20.75,41.5,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
8678,8679,big_meat_s,2,2015-05-03,17:51:47,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
8745,8746,brie_carre_s,2,2015-06-03,13:29:45,23.65,47.3,S,Supreme,"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic",The Brie Carre Pizza
8793,8794,hawaiian_m,2,2015-06-03,18:42:52,13.25,26.5,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
8815,8816,five_cheese_l,2,2015-06-03,20:01:26,18.5,37.0,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
8851,8852,sicilian_s,2,2015-07-03,11:46:18,12.25,24.5,S,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza
8940,8941,big_meat_s,2,2015-07-03,19:40:59,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
8970,8971,bbq_ckn_m,2,2015-07-03,21:23:14,16.75,33.5,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
9073,9074,hawaiian_m,2,2015-08-03,17:55:21,13.25,26.5,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
9268,9269,cali_ckn_l,2,2015-10-03,12:27:06,20.75,41.5,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
9410,9411,big_meat_s,2,2015-11-03,12:53:38,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
9532,9533,cali_ckn_l,2,2015-12-03,11:37:02,20.75,41.5,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
9737,9738,big_meat_s,2,2015-03-13,17:53:29,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
9757,9758,mexicana_l,2,2015-03-13,19:13:52,20.25,40.5,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
9864,9865,big_meat_s,2,2015-03-14,15:50:39,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
9956,9957,calabrese_m,2,2015-03-15,13:41:43,16.25,32.5,M,Supreme,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",The Calabrese Pizza
9990,9991,bbq_ckn_s,2,2015-03-15,15:48:11,12.75,25.5,S,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
10249,10250,classic_dlx_s,2,2015-03-17,14:14:26,12.0,24.0,S,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
10813,10814,big_meat_s,2,2015-03-21,13:08:31,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
11111,11112,cali_ckn_l,2,2015-03-23,19:54:00,20.75,41.5,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
11901,11902,ital_cpcllo_s,2,2015-03-29,17:02:33,12.0,24.0,S,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
12141,12142,calabrese_l,2,2015-03-31,14:51:37,20.25,40.5,L,Supreme,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",The Calabrese Pizza
12239,12240,pepperoni_l,2,2015-01-04,12:07:01,15.25,30.5,L,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
12321,12322,napolitana_s,2,2015-01-04,17:56:07,12.0,24.0,S,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza
12372,12373,bbq_ckn_l,2,2015-02-04,11:53:01,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
12470,12471,four_cheese_l,2,2015-02-04,17:19:53,17.95,35.9,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
12708,12709,big_meat_s,2,2015-04-04,14:09:08,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
12715,12716,ital_supr_m,2,2015-04-04,14:22:39,16.5,33.0,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
12951,12952,ital_supr_m,2,2015-06-04,12:23:03,16.5,33.0,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
13405,13406,mexicana_l,2,2015-09-04,15:15:22,20.25,40.5,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
13701,13702,bbq_ckn_l,2,2015-11-04,17:19:57,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
13755,13756,thai_ckn_m,2,2015-11-04,21:26:33,16.75,33.5,M,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
13822,13823,ital_cpcllo_l,2,2015-12-04,15:39:22,20.5,41.0,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza
13860,13861,pepperoni_s,2,2015-12-04,18:43:51,9.75,19.5,S,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
13887,13888,classic_dlx_m,2,2015-12-04,22:16:05,16.0,32.0,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
13904,13905,cali_ckn_l,2,2015-04-13,11:46:55,20.75,41.5,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
14082,14083,bbq_ckn_l,2,2015-04-14,13:14:51,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
14170,14171,ital_supr_m,2,2015-04-14,21:26:50,16.5,33.0,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
14252,14253,sicilian_s,2,2015-04-15,15:58:26,12.25,24.5,S,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza
14446,14447,bbq_ckn_m,2,2015-04-16,22:04:26,16.75,33.5,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
14687,14688,five_cheese_l,2,2015-04-18,17:32:18,18.5,37.0,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
14730,14731,spinach_fet_l,2,2015-04-18,20:06:42,20.25,40.5,L,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza
14868,14869,bbq_ckn_m,2,2015-04-20,12:43:03,16.75,33.5,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
15072,15073,four_cheese_l,2,2015-04-21,16:54:55,17.95,35.9,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza
15355,15356,ital_supr_l,2,2015-04-23,18:08:39,20.75,41.5,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
15370,15371,five_cheese_l,2,2015-04-23,19:04:17,18.5,37.0,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
15521,15522,big_meat_s,2,2015-04-24,19:51:03,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
15551,15552,ckn_pesto_l,2,2015-04-24,22:25:13,20.75,41.5,L,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza
15982,15983,bbq_ckn_m,2,2015-04-28,16:29:22,16.75,33.5,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
16073,16074,cali_ckn_l,2,2015-04-29,15:42:51,20.75,41.5,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
16089,16090,pepperoni_s,2,2015-04-29,17:11:54,9.75,19.5,S,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza
16101,16102,hawaiian_s,2,2015-04-29,17:43:30,10.5,21.0,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
16336,16337,five_cheese_l,2,2015-01-05,12:58:03,18.5,37.0,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
16406,16407,ckn_pesto_m,2,2015-01-05,19:10:03,16.75,33.5,M,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza
16830,16831,big_meat_s,3,2015-04-05,18:44:26,12.0,36.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
16936,16937,classic_dlx_m,2,2015-05-05,19:47:31,16.0,32.0,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
17108,17109,big_meat_s,2,2015-07-05,12:45:58,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
17145,17146,five_cheese_l,2,2015-07-05,14:42:32,18.5,37.0,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
17159,17160,brie_carre_s,2,2015-07-05,16:36:36,23.65,47.3,S,Supreme,"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic",The Brie Carre Pizza
17180,17181,bbq_ckn_l,2,2015-07-05,17:50:15,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
17195,17196,bbq_ckn_s,2,2015-07-05,18:36:26,12.75,25.5,S,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
17229,17230,big_meat_s,2,2015-08-05,12:01:19,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
17444,17445,cali_ckn_l,2,2015-09-05,15:36:47,20.75,41.5,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
17679,17680,bbq_ckn_m,2,2015-11-05,11:27:22,16.75,33.5,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
17732,17733,bbq_ckn_m,2,2015-11-05,14:29:39,16.75,33.5,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
17805,17806,ital_supr_m,2,2015-11-05,19:38:14,16.5,33.0,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
18202,18203,cali_ckn_m,2,2015-05-14,18:01:10,16.75,33.5,M,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
18232,18233,five_cheese_l,2,2015-05-14,20:11:21,18.5,37.0,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
18280,18281,big_meat_s,2,2015-05-15,13:17:25,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
18611,18612,ital_supr_l,2,2015-05-17,13:50:45,20.75,41.5,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
18619,18620,bbq_ckn_m,2,2015-05-17,14:49:55,16.75,33.5,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
18850,18851,bbq_ckn_l,2,2015-05-19,11:57:39,20.75,41.5,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza
18875,18876,big_meat_s,4,2015-05-19,12:42:46,12.0,48.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
19154,19155,big_meat_s,2,2015-05-21,17:16:30,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
19304,19305,five_cheese_l,2,2015-05-22,18:59:43,18.5,37.0,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
19405,19406,big_meat_s,2,2015-05-23,16:28:16,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
19475,19476,cali_ckn_m,2,2015-05-23,21:01:47,16.75,33.5,M,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza
19505,19506,brie_carre_s,2,2015-05-24,11:50:36,23.65,47.3,S,Supreme,"Brie Carre Cheese, Prosciutto, Caramelized Onions, Pears, Thyme, Garlic",The Brie Carre Pizza
19585,19586,hawaiian_l,2,2015-05-24,17:47:30,16.5,33.0,L,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
20079,20080,spicy_ital_s,2,2015-05-28,18:14:34,12.5,25.0,S,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza
20255,20256,big_meat_s,2,2015-05-29,20:56:00,12.0,24.0,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza
